# 윤슬 풀빌라 (pension-a) — 번호	슬러그	파일	표시w	표시h	생성w	생성h	설명
y30	yoonseul	room-11.jpg	570	394	1140	788	객실 11 대표 사진 — 거실·풀 (메인 객실 목록·모바일 객실 타일·객실 미리보기 겸용)
y31	yoonseul	room-12.jpg	570	394	1140	788	객실 12 대표 사진 — 거실·풀 (메인 객실 목록·모바일 객실 타일·객실 미리보기 겸용)
y32	yoonseul	room-13.jpg	570	394	1140	788	객실 13 대표 사진 — 거실·풀 (메인 객실 목록·모바일 객실 타일·객실 미리보기 겸용)
y33	yoonseul	room-14.jpg	570	394	1140	788	객실 14 대표 사진 — 거실·풀 (메인 객실 목록·모바일 객실 타일·객실 미리보기 겸용)
y34	yoonseul	room-15.jpg	570	394	1140	788	객실 15 대표 사진 — 거실·풀 (메인 객실 목록·모바일 객실 타일·객실 미리보기 겸용)
y35	yoonseul	room-16.jpg	570	394	1140	788	객실 16 대표 사진 — 거실·풀 (메인 객실 목록·모바일 객실 타일·객실 미리보기 겸용)
y36	yoonseul	room-17.jpg	570	394	1140	788	객실 17 대표 사진 — 거실·풀 (메인 객실 목록·모바일 객실 타일·객실 미리보기 겸용)
y37	yoonseul	room-18.jpg	570	394	1140	788	객실 18 대표 사진 — 거실·풀 (메인 객실 목록·모바일 객실 타일·객실 미리보기 겸용)
y38	yoonseul	room-19.jpg	570	394	1140	788	객실 19 대표 사진 — 거실·풀 (메인 객실 목록·모바일 객실 타일·객실 미리보기 겸용)
y39	yoonseul	menu-1.jpg	400	556	800	1112	전체 메뉴 미리보기 1 — 프롤로그
y40	yoonseul	menu-2.jpg	400	556	800	1112	전체 메뉴 미리보기 2 — 객실
y41	yoonseul	menu-3.jpg	400	556	800	1112	전체 메뉴 미리보기 3 — 스페셜
y42	yoonseul	menu-4.jpg	400	556	800	1112	전체 메뉴 미리보기 4 — 주변 여행
y43	yoonseul	menu-5.jpg	400	556	800	1112	전체 메뉴 미리보기 5 — 오시는 길
y44	yoonseul	menu-6.jpg	400	556	800	1112	전체 메뉴 미리보기 6 — 예약 안내
y45	yoonseul	site-map.jpg	1440	801	2400	1335	단지 배치도(객실 번호 표기 항공 일러스트) — 객실 상세·모바일 메인 겸용
y46	yoonseul	hero-prologue-1.jpg	1440	900	2400	1500	프롤로그 서브 히어로 슬라이드 1
y47	yoonseul	hero-prologue-2.jpg	1440	900	2400	1500	프롤로그 서브 히어로 슬라이드 2
y48	yoonseul	hero-prologue-3.jpg	1440	900	2400	1500	프롤로그 서브 히어로 슬라이드 3
y49	yoonseul	hero-room-1.jpg	1440	900	2400	1500	객실 서브 히어로 슬라이드 1
y50	yoonseul	hero-room-2.jpg	1440	900	2400	1500	객실 서브 히어로 슬라이드 2
y51	yoonseul	hero-room-3.jpg	1440	900	2400	1500	객실 서브 히어로 슬라이드 3
y52	yoonseul	hero-special-1.jpg	1440	900	2400	1500	스페셜 서브 히어로 슬라이드 1
y53	yoonseul	hero-special-2.jpg	1440	900	2400	1500	스페셜 서브 히어로 슬라이드 2
y54	yoonseul	hero-special-3.jpg	1440	900	2400	1500	스페셜 서브 히어로 슬라이드 3
y55	yoonseul	hero-location.jpg	1440	900	2400	1500	오시는 길 서브 히어로 — 단지 외관
y56	yoonseul	hero-reservation.jpg	1440	900	2400	1500	예약 안내 히어로 영상 자리(포스터) — 수면 위 빛
y57	yoonseul	prologue-film.jpg	1152	810	2304	1620	프롤로그 소개 영상 자리(포스터) 16:9
y58	yoonseul	prologue-wide.jpg	1440	575	2400	958	프롤로그 와이드 — 테라스 너머 건물 외관
y59	yoonseul	prologue-frame-1.jpg	351	449	702	898	프롤로그 라인 목록 사진 1 — 흰 벽과 바다 (PC 194×248, 모바일 351×449)
y60	yoonseul	prologue-frame-2.jpg	351	449	702	898	프롤로그 라인 목록 사진 2 — 끝없는 푸른 수평선 (PC 194×248, 모바일 351×449)
y61	yoonseul	prologue-frame-3.jpg	351	449	702	898	프롤로그 라인 목록 사진 3 — 흰 벽에 드리운 햇살 (PC 194×248, 모바일 351×449)
y62	yoonseul	prologue-film-2.jpg	656	811	1312	1622	프롤로그 하단 세로 영상 자리(포스터)
y63	yoonseul	prologue-still.jpg	656	405	1312	810	프롤로그 하단 가로 사진 — 바위 해안과 풀
y64	yoonseul	room-main.jpg	840	765	1680	1530	객실 상세 큰 사진 — 커튼 사이 바다와 의자
y65	yoonseul	room-side.jpg	392	514	784	1028	객실 상세 세로 사진 — 계단식 창가
y66	yoonseul	room-detail.jpg	972	678	1944	1356	객실 상세 하단 사진 — 바다를 배경으로 한 손
y67	yoonseul	room-wide.jpg	1440	488	2400	813	객실 상세 와이드 — 거실에서 본 오션뷰
y68	yoonseul	special-film.jpg	720	743	1440	1486	스페셜 영상 자리(포스터) — 파도
y69	yoonseul	special-side.jpg	520	360	1040	720	스페셜 청록 영역 사진 — 부서지는 파도
y70	yoonseul	special-rhythm-1.jpg	420	321	840	642	스페셜 곡선 영역 좌측 사진
y71	yoonseul	special-rhythm-2.jpg	420	544	840	1088	스페셜 곡선 영역 우측 사진 — 바다를 보는 인물
y72	yoonseul	location-map.jpg	1440	785	2400	1308	오시는 길 지도 자리(샘플 지도 이미지)
y73	yoonseul	reser-info.jpg	648	453	1296	906	예약 안내 사진 — 풀사이드 음료
y74	yoonseul	reser-option.jpg	540	664	1080	1328	부가 서비스 영역 세로 사진 — 창가 의자와 바다
